Date,Description,Amount,Category
2024-10-01,Rent payment,550,Housing
2024-10-02,Weekly groceries,45,Food
2024-10-03,Starbucks coffee,4.75,Fast Food
2024-10-04,Gas for car,35,Gas
2024-10-05,Netflix subscription,15.99,Entertainment
2024-10-06,Campus health center,25,Healthcare
2024-10-07,Taco Bell dinner,8.50,Fast Food
2024-10-08,Phone bill,45,Utilities
2024-10-09,Textbook purchase,85,Shopping
2024-10-10,Weekly groceries,42,Food
2024-10-11,Car insurance payment,120,Insurance
2024-10-12,Movie ticket,12,Entertainment
2024-10-13,Toiletries,18,Shopping
2024-10-14,Gas for car,28,Gas
2024-10-15,Coffee with friends,6.25,Fast Food
2024-10-16,Electric bill,40,Utilities
2024-10-17,Weekly groceries,38,Food
2024-10-18,Pharmacy,15,Healthcare
2024-10-19,Pizza delivery,22,Fast Food
2024-10-20,New jeans,45,Shopping
2024-10-21,Laundry,8,Utilities
2024-10-22,Weekly groceries,47,Food
2024-10-23,Bus pass,25,Other
2024-10-24,Spotify subscription,10.99,Entertainment
2024-10-25,Gas for car,32,Gas
2024-10-26,McDonald's,9.75,Fast Food
2024-10-27,Weekly groceries,44,Food
2024-10-28,School supplies,22,Shopping
2024-10-29,Internet bill,35,Utilities
2024-10-30,Concert ticket,40,Entertainment
